WORLD,21/01/2024,Power,40.347
WORLD,21/01/2024,Residential,19.0703
WORLD,22/01/2024,Domestic Aviation,0.933317
WORLD,22/01/2024,Ground Transport,19.0029
WORLD,22/01/2024,Industry,28.7978
WORLD,22/01/2024,International Aviation,1.61796
WORLD,22/01/2024,Power,41.1943
WORLD,22/01/2024,Residential,19.2266
WORLD,23/01/2024,Domestic Aviation,0.945138
WORLD,23/01/2024,Ground Transport,19.6355
WORLD,23/01/2024,Industry,29.1938
WORLD,23/01/2024,International Aviation,1.55018
WORLD,23/01/2024,Power,41.9729
WORLD,23/01/2024,Residential,18.4501
WORLD,24/01/2024,Domestic Aviation,0.933665
WORLD,24/01/2024,Ground Transport,19.7072
WORLD,24/01/2024,Industry,29.3217
WORLD,24/01/2024,International Aviation,1.54539
WORLD,24/01/2024,Power,41.9945
WORLD,24/01/2024,Residential,17.6422
WORLD,25/01/2024,Domestic Aviation,0.963682
WORLD,25/01/2024,Ground Transport,19.551
WORLD,25/01/2024,Industry,29.7526
WORLD,25/01/2024,International Aviation,1.61474
WORLD,25/01/2024,Power,42.1163
WORLD,25/01/2024,Residential,17.2404
WORLD,26/01/2024,Domestic Aviation,1.01477
WORLD,26/01/2024,Ground Transport,18.6086
WORLD,26/01/2024,Industry,28.7168
WORLD,26/01/2024,International Aviation,1.65585
WORLD,26/01/2024,Power,40.9924
WORLD,26/01/2024,Residential,16.8229
WORLD,27/01/2024,Domestic Aviation,0.945578
WORLD,27/01/2024,Ground Transport,17.5038
WORLD,27/01/2024,Industry,27.7065
WORLD,27/01/2024,International Aviation,1.68187
WORLD,27/01/2024,Power,39.8177
WORLD,27/01/2024,Residential,16.8344
WORLD,28/01/2024,Domestic Aviation,0.932631
WORLD,28/01/2024,Ground Transport,15.7499
WORLD,28/01/2024,Industry,27.1205
WORLD,28/01/2024,International Aviation,1.698
WORLD,28/01/2024,Power,38.6245
WORLD,28/01/2024,Residential,16.7798
WORLD,29/01/2024,Domestic Aviation,0.975586
WORLD,29/01/2024,Ground Transport,18.927
WORLD,29/01/2024,Industry,28.7121
WORLD,29/01/2024,International Aviation,1.61101
WORLD,29/01/2024,Power,40.6927
WORLD,29/01/2024,Residential,16.2441
WORLD,30/01/2024,Domestic Aviation,0.978115
WORLD,30/01/2024,Ground Transport,19.5028
WORLD,30/01/2024,Industry,29.2973
WORLD,30/01/2024,International Aviation,1.53434
WORLD,30/01/2024,Power,41.3613
WORLD,30/01/2024,Residential,15.634
WORLD,31/01/2024,Domestic Aviation,0.970535
WORLD,31/01/2024,Ground Transport,19.5765
WORLD,31/01/2024,Industry,28.6656
WORLD,31/01/2024,International Aviation,1.58976
WORLD,31/01/2024,Power,40.9766
WORLD,31/01/2024,Residential,15.3139
WORLD,01/02/2024,Domestic Aviation,0.994005
WORLD,01/02/2024,Ground Transport,19.5912
WORLD,01/02/2024,Industry,31.5802
WORLD,01/02/2024,International Aviation,1.60145
WORLD,01/02/2024,Power,44.3238
WORLD,01/02/2024,Residential,16.0564
WORLD,02/02/2024,Domestic Aviation,1.0225
WORLD,02/02/2024,Ground Transport,19.0682
WORLD,02/02/2024,Industry,30.8329
WORLD,02/02/2024,International Aviation,1.68287
WORLD,02/02/2024,Power,43.678
WORLD,02/02/2024,Residential,16.1569
WORLD,03/02/2024,Domestic Aviation,0.943135
WORLD,03/02/2024,Ground Transport,17.8069
WORLD,03/02/2024,Industry,29.8128
WORLD,03/02/2024,International Aviation,1.69244
WORLD,03/02/2024,Power,42.0363
WORLD,03/02/2024,Residential,15.925
WORLD,04/02/2024,Domestic Aviation,0.924487
WORLD,04/02/2024,Ground Transport,15.6548
WORLD,04/02/2024,Industry,28.5861
WORLD,04/02/2024,International Aviation,1.70695
WORLD,04/02/2024,Power,40.4939
WORLD,04/02/2024,Residential,15.7736
WORLD,05/02/2024,Domestic Aviation,0.978443
WORLD,05/02/2024,Ground Transport,18.7977
WORLD,05/02/2024,Industry,29.9617
WORLD,05/02/2024,International Aviation,1.62758
WORLD,05/02/2024,Power,42.0573
WORLD,05/02/2024,Residential,15.4839
WORLD,06/02/2024,Domestic Aviation,0.988931
WORLD,06/02/2024,Ground Transport,19.2461
WORLD,06/02/2024,Industry,30.4648
WORLD,06/02/2024,International Aviation,1.57349
WORLD,06/02/2024,Power,42.6095
WORLD,06/02/2024,Residential,15.3766
WORLD,07/02/2024,Domestic Aviation,0.983045
WORLD,07/02/2024,Ground Transport,19.2014
WORLD,07/02/2024,Industry,30.3174
WORLD,07/02/2024,International Aviation,1.56145
WORLD,07/02/2024,Power,41.9842
WORLD,07/02/2024,Residential,15.7198
WORLD,08/02/2024,Domestic Aviation,1.01594
WORLD,08/02/2024,Ground Transport,18.9944
WORLD,08/02/2024,Industry,29.3392
WORLD,08/02/2024,International Aviation,1.61983
WORLD,08/02/2024,Power,40.6452
WORLD,08/02/2024,Residential,15.4203
WORLD,09/02/2024,Domestic Aviation,1.00373
WORLD,09/02/2024,Ground Transport,18.5068
WORLD,09/02/2024,Industry,28.1994
WORLD,09/02/2024,International Aviation,1.67344
WORLD,09/02/2024,Power,39.3575
WORLD,09/02/2024,Residential,14.415
WORLD,10/02/2024,Domestic Aviation,0.936266
WORLD,10/02/2024,Ground Transport,17.1726
WORLD,10/02/2024,Industry,26.1556
WORLD,10/02/2024,International Aviation,1.7134
WORLD,10/02/2024,Power,36.2908
WORLD,10/02/2024,Residential,13.9024
WORLD,11/02/2024,Domestic Aviation,0.919092
WORLD,11/02/2024,Ground Transport,14.9348
WORLD,11/02/2024,Industry,24.9446
WORLD,11/02/2024,International Aviation,1.69371
WORLD,11/02/2024,Power,34.5425
WORLD,11/02/2024,Residential,13.5983
WORLD,12/02/2024,Domestic Aviation,0.961452
WORLD,12/02/2024,Ground Transport,17.8942
WORLD,12/02/2024,Industry,26.6246
WORLD,12/02/2024,International Aviation,1.59454
WORLD,12/02/2024,Power,35.7273
WORLD,12/02/2024,Residential,12.9201
WORLD,13/02/2024,Domestic Aviation,0.954204
WORLD,13/02/2024,Ground Transport,18.6692
WORLD,13/02/2024,Industry,26.9027
WORLD,13/02/2024,International Aviation,1.51774
WORLD,13/02/2024,Power,36.2729
WORLD,13/02/2024,Residential,12.3972
WORLD,14/02/2024,Domestic Aviation,0.974349
WORLD,14/02/2024,Ground Transport,18.8252
WORLD,14/02/2024,Industry,27.0871
WORLD,14/02/2024,International Aviation,1.55066
WORLD,14/02/2024,Power,36.4522
WORLD,14/02/2024,Residential,12.3438
WORLD,15/02/2024,Domestic Aviation,1.01306
WORLD,15/02/2024,Ground Transport,18.6789
WORLD,15/02/2024,Industry,27.4
WORLD,15/02/2024,International Aviation,1.6071
WORLD,15/02/2024,Power,37.0098
WORLD,15/02/2024,Residential,13.0115
WORLD,16/02/2024,Domestic Aviation,1.047
WORLD,16/02/2024,Ground Transport,18.4773
WORLD,16/02/2024,Industry,27.2829
WORLD,16/02/2024,International Aviation,1.66214
WORLD,16/02/2024,Power,36.6978
WORLD,16/02/2024,Residential,13.3964
WORLD,17/02/2024,Domestic Aviation,0.978168
WORLD,17/02/2024,Ground Transport,17.486
WORLD,17/02/2024,Industry,26.4104
WORLD,17/02/2024,International Aviation,1.699
WORLD,17/02/2024,Power,35.8349
WORLD,17/02/2024,Residential,13.4182
WORLD,18/02/2024,Domestic Aviation,0.9513
WORLD,18/02/2024,Ground Transport,15.7533
WORLD,18/02/2024,Industry,25.7959
WORLD,18/02/2024,International Aviation,1.70599
WORLD,18/02/2024,Power,35.6709
WORLD,18/02/2024,Residential,13.5146
WORLD,19/02/2024,Domestic Aviation,0.99508
WORLD,19/02/2024,Ground Transport,18.1447
WORLD,19/02/2024,Industry,27.5657
WORLD,19/02/2024,International Aviation,1.61959
WORLD,19/02/2024,Power,37.7747
WORLD,19/02/2024,Residential,13.9671
WORLD,20/02/2024,Domestic Aviation,1.0008
WORLD,20/02/2024,Ground Transport,19.1279
WORLD,20/02/2024,Industry,28.6406
WORLD,20/02/2024,International Aviation,1.54845
WORLD,20/02/2024,Power,39.8473
WORLD,20/02/2024,Residential,14.5602
WORLD,21/02/2024,Domestic Aviation,0.981107
WORLD,21/02/2024,Ground Transport,19.3794
WORLD,21/02/2024,Industry,29.1643
WORLD,21/02/2024,International Aviation,1.5619
WORLD,21/02/2024,Power,40.7359
WORLD,21/02/2024,Residential,14.7343
WORLD,22/02/2024,Domestic Aviation,1.01536
WORLD,22/02/2024,Ground Transport,19.4667
WORLD,22/02/2024,Industry,30.4091
WORLD,22/02/2024,International Aviation,1.62084
WORLD,22/02/2024,Power,42.6312
WORLD,22/02/2024,Residential,14.5203
WORLD,23/02/2024,Domestic Aviation,1.04313
WORLD,23/02/2024,Ground Transport,18.5513
WORLD,23/02/2024,Industry,30.3647
WORLD,23/02/2024,International Aviation,1.6787
WORLD,23/02/2024,Power,43.0185
WORLD,23/02/2024,Residential,14.726
WORLD,24/02/2024,Domestic Aviation,0.957249
WORLD,24/02/2024,Ground Transport,17.2561
WORLD,24/02/2024,Industry,29.2774
WORLD,24/02/2024,International Aviation,1.70445
WORLD,24/02/2024,Power,41.5476
WORLD,24/02/2024,Residential,15.0814
WORLD,25/02/2024,Domestic Aviation,0.958921
WORLD,25/02/2024,Ground Transport,15.7205
WORLD,25/02/2024,Industry,28.0308
WORLD,25/02/2024,International Aviation,1.71619
WORLD,25/02/2024,Power,39.6984
WORLD,25/02/2024,Residential,15.0428
WORLD,26/02/2024,Domestic Aviation,0.993793
WORLD,26/02/2024,Ground Transport,18.9121
WORLD,26/02/2024,Industry,29.6961
WORLD,26/02/2024,International Aviation,1.64802
WORLD,26/02/2024,Power,41.3986
WORLD,26/02/2024,Residential,14.545
WORLD,27/02/2024,Domestic Aviation,0.987196
WORLD,27/02/2024,Ground Transport,19.4577
WORLD,27/02/2024,Industry,30.6287
WORLD,27/02/2024,International Aviation,1.58815
WORLD,27/02/2024,Power,42.6622
WORLD,27/02/2024,Residential,14.2779
WORLD,28/02/2024,Domestic Aviation,0.979203
